airportName,airporCity,airportCountryCode,airportContinent,airporElevation
Presidente Juscelino Kubistschek International Airport,Brasília,BR,SA,3497
Ayawasi Airport,Ayawasi-Papua Island,ID,AS,1560
Bulimba Airport,,AU,OC,470
Volta Redonda Airport,Volta Redonda,BR,SA,1245
Mara Serena Lodge Airstrip,Masai Mara,KE,AF,5200
Ivanovo South Airport,Ivanovo,RU,EU,410
Fort Bragg Airport,Fort Bragg,US,NA,71
Ja'Aluni Airport,Duqm,OM,AS,560
Montgomery-Gibbs Executive Airport,San Diego,US,NA,427
Camocim Airport,Camocim,BR,SA,16
Forbes Airport,Forbes,AU,OC,760
Muskegon County Airport,Muskegon,US,NA,629
Rehoboth Airport,Rehoboth Beach,US,NA,30
Samangoky Airport,Tanandava,MG,AF,89
Dembidollo Airport,Dembidollo,ET,AF,5200
Flugplatz Güttin / Rügen,Rügen,DE,EU,69
Tanjung Santan Airport,Santan-Borneo Island,ID,AS,121
Kempegowda International Airport,Bangalore,IN,AS,3000
California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,NA,221
Ileg Airport,Ileg,PG,OC,60
